SubsID,error.immigrants.trim,error.asylum.seekers.trim,error.trim,error.immigrants,error.asylum.seekers,error,consp_01,confidence,trust.stat,news.paper,news.social,news.tv,concern.imm,edu.tertiary,lr,age,female,abit,income,dummy.imm.as,country,QG8c_1_T4,QG8d_1_T4,QG16_1_T4,QG16_2_T4,QG16_3_T4,QG16_4_T4,country_cod,int_wt1_cap_T4
EPOKFQWRSX5N7KV4B8,-1.74142687642692,NA,-1.74142687642692,-1.74142687642692,NA,-1.74142687642692,0.658874381677161,1,1,1,1,1,1,0,0.4,51,0,1. Metropolitan zone,0.181818181818182,1,Portugal,1,NA,1,3,2,2,8,0.700054806
EPOK46XFW8SMFF54B8,27.2585731235731,NA,27.2585731235731,27.2585731235731,NA,27.2585731235731,0.492484202911856,1,0,0.625,0.625,0.5,1,1,0.8,30,0,3. Rural zone,0.181818181818182,1,Portugal,30,NA,3,3,2,3,8,0.986479933
EPOK4C9ZY9HZS8M4B4,NA,6.99170319485018,6.99170319485018,NA,6.99170319485018,6.99170319485018,0.819593569667556,0,1,0.25,0.125,1,0,0,0.3,47,0,2. Other town/urban centre,0.272727272727273,0,Portugal,NA,7,1,1,1,4,8,1.281125963
EPOK3HDVH6G7FTS4B1,NA,2.99170319485018,2.99170319485018,NA,2.99170319485018,2.99170319485018,0.721469619736051,1,1,0.5,0.625,0.5,1,0,0.4,31,0,2. Other town/urban centre,0.454545454545455,0,Portugal,NA,3,1,2,2,2,8,1.618386075
EPOK469LZHZVJ5F4B4,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.604551911985957,0,1,0,0.5,0.25,1,1,0.4,35,1,2. Other town/urban centre,0.272727272727273,0,Portugal,NA,1,3,2,2,2,8,0.629376645
EPOKCYJGXYCVDLB4B2,NA,19.9917031948502,19.9917031948502,NA,19.9917031948502,19.9917031948502,0.739025565888992,0,0,0.5,1,1,0,1,0.5,23,1,3. Rural zone,NA,0,Portugal,NA,20,3,2,1,2,8,2.078686131
EPOL6WY3LLXN8464C6,12.2585731235731,NA,12.2585731235731,12.2585731235731,NA,12.2585731235731,0.667147150044847,1,1,1,1,0.875,1,1,0.3,55,1,1. Metropolitan zone,0.181818181818182,1,Portugal,15,NA,3,1,2,2,8,0.332931656
EPOK47GZF7Z77F84B7,NA,2.99170319485018,2.99170319485018,NA,2.99170319485018,2.99170319485018,0.268872981937151,0,1,0.25,1,1,1,0,0.4,58,0,1. Metropolitan zone,0.181818181818182,0,Portugal,NA,3,2,4,4,2,8,0.399641636
EPOKD32WW2XXXRX4B3,7.25857312357308,NA,7.25857312357308,7.25857312357308,NA,7.25857312357308,0.366996931868656,1,1,0,0.25,0.5,0,1,0.3,24,0,1. Metropolitan zone,0.272727272727273,1,Portugal,10,NA,2,3,3,4,8,0.650231689
EPOKKVJXDQDQD234C9,7.25857312357308,NA,7.25857312357308,7.25857312357308,NA,7.25857312357308,0.685119915764521,0,1,0.625,0.375,0.625,1,1,0.5,34,1,1. Metropolitan zone,0.363636363636364,1,Portugal,10,NA,1,1,2,4,8,0.629376645
EPOK46HG3B7YSNX4B2,22.2585731235731,NA,22.2585731235731,22.2585731235731,NA,22.2585731235731,0.855943273639087,0,1,0.125,1,1,1,1,0.3,24,0,2. Other town/urban centre,0.272727272727273,1,Portugal,25,NA,1,2,1,2,8,0.600613555
EPOK4BV65TL83ZT4B5,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.909552128838141,0,1,0.25,0.25,0,1,1,0.4,25,1,1. Metropolitan zone,0.181818181818182,0,Portugal,NA,1,2,1,1,1,8,0.629376645
